ente,uf,ano,grupo,contrib_previdenciaria,recursos_acumulados,receita_investimentos_e_ativos,pagamento_beneficios,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,recursos_acumulados_problema,receita_investimentos_e_ativos_problema,pagamento_beneficios_problema
ALEM PARAIBA,MG,2024,MÉDIO PORTE,6906634.9,62402332.53,32181180.25,13917354.31,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2019,MÉDIO PORTE,1073348.86,5953846.23,30783614.779999997,514564.79,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2020,PEQUENO PORTE,1342081.18,7014898.38,30238249.02,760916.91,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2021,PEQUENO PORTE,1615367.78,7658799.77,29783341.36,856426.75,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2022,PEQUENO PORTE,2127622.13,8864399.58,29862452.79,1147689.24,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2023,PEQUENO PORTE,2106727.49,10784617.98,29862452.79,1753083.03,,,,,,,False,False,False,False
ALGODAO DE JANDAIRA,PB,2024,PEQUENO PORTE,2552818.74,13203210.2,29862452.79,2275221.05,,,,,,,False,False,False,False
ALHANDRA,PB,2019,MÉDIO PORTE,3789989.32,6338608.7,30736183.98,5121021.16,,,,,,,False,False,False,False
ALHANDRA,PB,2020,MÉDIO PORTE,2184718.3,6949215.54,30098721.64,5921727.02,,,,,,,False,False,False,False
ALHANDRA,PB,2021,MÉDIO PORTE,7137589.91,7327925.17,30043387.88,6228806.02,,,,,,,False,False,False,False
ALHANDRA,PB,2022,MÉDIO PORTE,10823238.76,8664639.73,30234421.47,8064315.25,,,,,,,False,False,False,False
ALHANDRA,PB,2023,MÉDIO PORTE,12237221.09,12446011.12,31704176.95,9845894.13,,,,,,,False,False,False,False
ALHANDRA,PB,2024,MÉDIO PORTE,16238590.42,17977246.78,31397653.45,9918581.36,,,,,,,False,False,False,False
ALIANCA,PE,2019,MÉDIO PORTE,12599702.05,8241.99,29864320.88,19441068.3,,,,,,,False,False,False,False
ALIANCA,PE,2020,MÉDIO PORTE,13507127.55,17269.16,29863635.73,21997714.31,,,,,,,False,False,False,False
ALIANCA,PE,2021,MÉDIO PORTE,14148894.84,436625.5,29863970.91,23488582.47,,,,,,,False,False,False,False
ALIANCA,PE,2022,MÉDIO PORTE,18333747.04,12091.05,29866618.18,21743505.4,,,,,,,False,False,False,False
ALIANCA,PE,2023,MÉDIO PORTE,21011345.78,182753.98,30068985.34,30282067.54,,,,,,,False,False,False,False
ALIANCA,PE,2024,MÉDIO PORTE,23384307.14,2033523.67,30084443.93,30365937.6,2023-03-08 00:00:00,2023-02-01 00:00:00,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2019,MÉDIO PORTE,5171010.65,153402568.83,62763213.46,15729014.14,,,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2020,MÉDIO PORTE,5204750.05,178494180.71,36440932.72,18732474.51,,,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2021,MÉDIO PORTE,11913866.84,178988889.47,37039745.8,20537657.83,,,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2022,MÉDIO PORTE,14052453.78,182503402.64,37772324.629999995,23457012.22,,,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2023,MÉDIO PORTE,18653848.5,187701401.65,56091101.9,24781543.91,,,,,,,False,False,False,False
ALMIRANTE TAMANDARE,PR,2024,MÉDIO PORTE,20812510.66,217177704.17,39476502.54,29402521.11,2020-12-09 00:00:00,2020-12-03 00:00:00,,,,,False,False,False,False
ALOANDIA,GO,2019,PEQUENO PORTE,1005573.46,3526154.34,30150742.099999998,446705.73,,,,,,,False,False,False,False
ALOANDIA,GO,2020,PEQUENO PORTE,1086676.99,4053059.48,30074966.95,486555.15,,,,,,,False,False,False,False
ALOANDIA,GO,2021,PEQUENO PORTE,1149152.03,4890243.11,29887339.13,534484.23,,,,,,,False,False,False,False
ALOANDIA,GO,2022,PEQUENO PORTE,1283496.06,5421074.41,30410128.63,630500.36,,,,,,,False,False,False,False
ALOANDIA,GO,2023,PEQUENO PORTE,1397894.52,6465707.49,30727223.3,751863.09,,,,,,,False,False,False,False
ALOANDIA,GO,2024,PEQUENO PORTE,1831882.26,8201286.4,30325719.939999998,841175.84,,,,,,,False,False,False,False
ALTAMIRA DO PARANA,PR,2019,PEQUENO PORTE,1304241.77,3267732.7,30271196.669999998,1692670.19,,,,,,,False,False,False,False
ALTAMIRA DO PARANA,PR,2020,PEQUENO PORTE,1403339.01,3755172.35,29786084.259999998,1793748.45,,,,,,,False,False,False,False
ALTAMIRA DO PARANA,PR,2021,PEQUENO PORTE,1468404.74,4904111.100000001,29876673.279999997,1919196.16,,,,,,,False,False,False,False
ALTAMIRA DO PARANA,PR,2022,PEQUENO PORTE,1688972.8,6138534.56,30532797.0,2829008.68,,,,,,,False,False,False,False
