RPPS,Input1,Output1,Output2,Output3,Ano
RIO BRILHANTE_MS,797945.51,66,18220559.57,151707922.46,2021
RIO NEGRINHO_SC,796677.06,342,24070305.13,134263618.24,2021
SAGRADA FAMILIA_RS,80390.53,20,20905148.759999998,16787261.21,2021
SANTA FE DO SUL_SP,754831.46,461,25231232.439999998,84824778.62,2021
SANTA MARIA DE JETIBA_ES,472509.65,236,24105413.84,76949818.72,2021
SANTANA DO CARIRI_CE,185961.81,120,20704637.979999997,18298780.37,2021
SANTO ANDRE_SP,9237807.75,5868,16044061.279999997,836015732.36,2021
SANTO ANTONIO DA PATRULHA_RS,38560.88,437,23974199.58,134953881.97,2021
SAO FRANCISCO DE ASSIS_RS,118471.16,295,21958541.729999997,35768725.09,2021
SAO JOAO DA LAGOA_MG,137421.34,13,21478645.169999998,9386571.89,2021
SAO MANUEL_SP,871961.68,433,23181741.08,113011668.17,2021
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,237591.36,46,20630367.81,7874751.61,2021
SOLONOPOLE_CE,338625.77,114,21063166.959999997,19691629.31,2021
SUME_PB,343951.53,227,20576757.099999998,5085970.36,2021
TAIO_SC,519992.53,90,20838108.61,48558834.8,2021
TAUA_CE,517988.31,497,20769806.259999998,5618954.09,2021
TAUBATE_SP,3850552.94,2872,32858860.71,268930918.52,2021
TRAJANO DE MORAES_RJ,271854.33,436,20650572.919999998,11456856.21,2021
TRES MARIAS_MG,861861.27,385,24054719.18,74156508.09,2021
TUPANCIRETA_RS,74448.21,95,22453611.4,74962952.04,2021
TURMALINA_MG,257843.57,130,21050917.139999997,28671308.22,2021
VARJAO DE MINAS_MG,58309.63,49,20587595.43,12017725.84,2021
VARRE-SAI_RJ,319782.27,280,23779073.189999998,63927100.29000001,2021
VIANA_ES,716288.91,785,26905441.63,72693441.86,2021
VICOSA_MG,1429855.36,706,18518971.27,68433825.57,2021
ALTO PARAISO DE GOIAS_GO,226370.72,120,20729909.02,3486476.57,2022
AMAPORA_PR,101039.22,75,22350131.959999997,15510864.34,2022
ANDIRA_PR,645797.39,402,24359343.99,51443039.01000001,2022
AQUIDAUANA_MS,680292.42,386,28124091.509999998,50434957.63,2022
ARMACAO DOS BUZIOS_RJ,1144349.09,149,27497502.59,141697681.75,2022
